Interaction Title	Requirement Flags ([] or [])	Probability weight	Characters (list all involved, any order, separated by comma)	Dialogue ([name] "spoken *action*" (speed 1-5 with 1 being slowest))
Aiyo misses home		0.1	Aiyo, Lura	[Aiyo] "...Mom?" (3) [Lura] "What is it, Aiyo?" (3) [Aiyo] "When can we go back?" (3) [Lura] "Go back where?" (3) [Aiyo] "Home." (3) [Lura] "..." (3) [Aiyo] "Isn't Dad waiting for us there?" (3) [Lura] "...Not... Not yet... We can't go home yet." (3) [Aiyo] "Why not?" (3) [Lura] "It's... A bad omen." (3)
Arg suprised by Aiyo		0.35	Arg, Aiyo	[Arg] "Damn these fuckin' things..." (3) [Aiyo] "What're you doin'?" (3) [Arg] "Oh sh-... Jeez, you startled me." (5) [Arg] "Just puttin' these stakes back into the ground.  Damn wind loosened these up last night." (4) [Arg] "Almost took my tent with it." (3) [Aiyo] "Oh! Can I help?  Please?" (4) [Arg] "*sigh* Sure kid.  Here.  Keep the tent steady as I hammer these back in." (3) 
Kall and Lura talk about rain	[isRaining]	0.5	Kall, Lura	[Lura] "Rain is wonderful!  Wouldn't you agree?" (3) [Kall] "Not really." (2) [Lura] "Why not?  It's a sign of life and renewal!" (4) [Kall] "...Ok." (2) [Lura] "'Rain washes away perfections, revealing the jewel within.'  Didn't your parents teach you that?" (3) [Kall] "No." (2) [Lura] "What do you see rain as, then?  Some disastrous, negative force of nature?  Some mild annoyance?" (4) [Kall] "Rain is rain." (2) 
Snall And Aiyo talk about sun	[isSunny]	1	Snäll, Aiyo	[Snäll] "It's quite a nice day outside today, isn't it?" (3) [Aiyo] "Hooray!  The sun isn't too shy today!" (4) [Snäll] "What do you mean by that?" (3) [Aiyo] "Some days, the sun seems too shy to come out, so it hides behind the clouds!" (4) [Snäll] "Really?  What made the sun come out today then?" (4) [Aiyo] "It comes out to play with the moon!  They like to chase each other around when the sun isn't so shy." (3) [Snäll] "*chuckles* I'm sure they have lots of fun." (2)
Arg and Kall talk about sun	[isSunny]	1	Arg, Kall	[Arg] "Damn, the sun's fuckin' beatin' down hard today." (4) [Kall] "Yeah." (2) [Arg] "How is Aiyo able to run around so much in this fuckin' heat?  I can barely walk without gettin' all sweaty." (3) [Kall] "Kids have lots of energy, I guess..." (2) [Arg] "Lura really needs to make her a sun hat.  There's no way its safe for her to be out in the sun that fuckin' long." (3) [Kall] "...Why don't you make it yourself?  You know how to." (2) [Arg] "..." (3) [Arg] "Fuck it. I guess if something's gotta be done, might as well do it yourself." (4)
Arg and Lura in fog	[isFoggy]	0.5	Arg, Lura	[Arg] "Damn,  This fog's so thick I can't fuckin' see anything." (4) [Lura] "I hope it goes away soon!  It's a bad omen for fog to obstruct the sunset, you know." (3) [Arg] "I don't really care that we can't see the sunset.  I care that we can't fuckin' see." (4) [Lura] "But if the fog hides the sun, then something even worse will happen during the night!" (4) [Arg] "...Whatever.  Not much point to arguin' anyways, we've all got shit to deal with right now." (3) [Arg] "Let's just both hope the fog goes away for separate reasons." (3) [Lura] "Well then we'll both be proven right when it does!" (3)
Kall and Aiyo in fog	[isFoggy]	0.5	Kall, Aiyo	[Aiyo] "Why is the sun hiding today?" (4) [Kall] "...What?" (2) [Aiyo] "Why is the sun hiding behind all these clouds today?" (4) [Kall] "..." (2) [Kall] "I don't know. Just fog, I guess..." (2) [Aiyo] "What's that?" (3) [Kall] "The clouds are low to the ground and hide the sun." (2) [Aiyo] "Why would the clouds do that?  I like the sun!" (4) [Kall] "...Who knows..." (2)
Snäll and Arg in fog	[isFoggy]	0.5	Snäll, Arg	[Arg] "Oh- sorry 'bout that.  Can't see a thing in this damn fog, almost ran into you." (4) [Snäll] "Oh, no worries!  This fog is pretty bad, isn't it?" (3) [Arg] "You're tellin' me!  I don't even remember how many people I've almost run into today."  (4) [Snäll] "*chuckles*I know.  I couldn't see you, but I definitely heard your grumbling!" (3) [Arg] "I can't tell you how much I hate not being in my own home right now." (4) [Snäll] "...Yeah.  Hopefully it'll all be over soon." (2) [Arg] "It better." (3)
Snäll and Kall in fog	[isFoggy]	0.5	Snäll, Kall	[Snäll] "It sure is foggy, huh?" (3) [Kall] "..." (1) [Snäll] "You okay?  You're more quiet than usual today, and that's saying something." (2) [Kall] "..." (1) [Kall] "...You remember... Looking back?" (1) [Snäll] "Looking back to what?" (3) [Kall] "...Home." (2) [Snäll] "..." (2) [Kall] "...You remember the smoke?  How it swallowed... everything we had?" (2) [Snäll] "I try not to, but... Yeah." (2) [Kall] "The fog just makes me feel like it's back again.  Here to take the rest of me." (2) [Snäll] "..." (2)
Arg and Kall in fog	[isFoggy]	0.5	Arg, Kall	[Arg] "Damn this fog... Would make this a whole lot easier..." (3) [Kall] "..." (2) [Arg] "Hey!  Quiet guy!  Can you help me find Aiyo's journal?" (4) [Arg] "Said she dropped it around here but this damn fog's makin' this impossible." (4) [Kall] "..." (2) [Arg] "You gonna help or not?" (4) [Kall] "...Fine." (2) [Arg] "Good.  Maybe we won't be out here for fuckin' hours then." (4) [Arg] "I swear, fog makes you even quieter than you normally are." (3) [Kall] "..." (1)
Kall and Lura in fog	[isFoggy]	0.5	Kall and Lura	[Lura] "Thank goodness it's foggy today." (3) [Kall] "..." (2) [Lura] "I saw a white-tailed fox last night, which is a common sign of evil!" (4) [Lura] "But fog will hide their eyes from us, sheltering us from their wickedness." (3) [Kall] "..." (2) [Lura] "... Are you not relieved?  This fog will protect us!" (3) [Kall] "...No." (2) 
Arg and Aiyo in fog	[isFoggy]	0.5	Arg, Aiyo	[Aiyo] "Mister Arg?" (3) [Arg] "Yeah kid?" (4) [Aiyo] "Can we go out to the river?  I'm bored." (3) [Arg] "Not a chance.  It's way too foggy out today.  We wouldn't be able to tell if something's nearby." (4) [Aiyo] "What something?" (3) [Arg] "Monsters!  Beasts!  Some magic-deformed thing wanting to eat us!   That something." (5) [Aiyo] "That's scary..." (2) [Arg] "Sure is.  That's why we gotta stay here and let Tyst handle it." (3)
Aiyo and Lura in fog	[isFoggy]	0.5	Aiyo, Lura	[Aiyo] "Hey mom?" (3) [Lura] "What is it?" (3) [Aiyo] "Why can we not see the sun?" (3) [Lura] "Because the gods above decided to hide it." (4) [Aiyo] "Why?" (4) [Lura] "Who knows... Hopefully they will allow it to be seen soon though!" (2)
Aiyo and Snäll in fog	[isFoggy]	0.5	Aiyo, Snäll 	[Aiyo] "I hate the fog.  I wish it would go away!" (4) [Snäll] "Why do you hate it?" (3) [Aiyo] "Mom said obscuring the sun hides evils from the gods' visions." (3) [Snäll] "Well that's not good!  Lets go inside and wait for the fog to leave, then." (3) [Aiyo] "Can I play outside when it's gone?" (4) [Snäll] "Of course." (3)
Snäll and Lura in fog	[isFoggy]	0.5	Snäll, Lura	[Lura] "Is Aiyo in the camp?  I don't want her going out during this fog." (4) [Snäll] "Oh don't worry, I saw her talking to Arg a moment ago." (3) [Lura] "Thank the gods.  I stop focusing on her for one second and she's already out of the tent." (3) [Snäll] "*chuckles* A real bundle of energy, that one." (3) [Lura] "Sure is.  She can barely focus during our prayers." (3) [Snäll] "Let's hope the gods still heard her." (2)
Aiyo feels sick	[firstLine]	10	Aiyo, Lura	[Aiyo] "Mom?" (2) [Lura] "What is it, honey?" (3) [Aiyo] "When can we go back home?  I don't feel good." (2) [Lura] "Is it really bad?  How do you feel?" (4) [Aiyo] "My stomach hurts..." (2) [Lura] "Well that's not good!" (3) [Lura] "We can't go back home yet, but I'm sure there's some herbs around here that could help!" (3) [Lura] "For now, just go back to bed and rest, ok?" (3) [Aiyo] "Ok..." (1) [Lura] "...I pray to the gods Tyst knows how to help..." (2)
Aiyo and Lura in sun	[isSunny]	1	Aiyo, Lura	[Lura] "It's so nice and warm out today!" (4) [Aiyo] "Why does the sun go away sometimes?" (4) [Lura] "Even the brightest stars need rest." (3) [Aiyo] "The sun gets tired!?" (5) [Lura] "N-no not really, It's just a metaphor." (2) [Aiyo] "What's that?" (3) [Lura] "It's a sentence that means something other than its literal definition!" (4) [Aiyo] "..." (2) [Aiyo] "That's confusing!" (4)
